Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
GA General Hospital #4,230560,GA,READM-30-PN-HRRP,293,1.0559,17.3869,16.4664,51,07/01/2021,06/30/2024
GA General Hospital #4,230560,GA,READM-30-COPD-HRRP,154,0.9325,18.8532,20.2179,29,07/01/2021,06/30/2024
GA General Hospital #4,230560,GA,READM-30-HIP-KNEE-HRRP,125,0.9824,4.8603,4.9474,6,07/01/2021,06/30/2024
GA General Hospital #5,230573,GA,READM-30-AMI-HRRP,292,1.0567,12.9874,12.2905,38,07/01/2021,06/30/2024
GA General Hospital #5,230573,GA,READM-30-HF-HRRP,490,0.9897,20.4844,20.6976,100,07/01/2021,06/30/2024
GA General Hospital #5,230573,GA,READM-30-PN-HRRP,552,1.0254,16.8298,16.4129,93,07/01/2021,06/30/2024
GA General Hospital #5,230573,GA,READM-30-COPD-HRRP,268,1.0119,20.5012,20.2601,55,07/01/2021,06/30/2024
GA General Hospital #5,230573,GA,READM-30-HIP-KNEE-HRRP,210,0.9546,4.5452,4.7614,10,07/01/2021,06/30/2024
NC General Hospital #1,230586,NC,READM-30-AMI-HRRP,326,1.0218,14.0017,13.703,46,07/01/2021,06/30/2024
NC General Hospital #1,230586,NC,READM-30-HF-HRRP,451,1.0094,18.699,18.5249,84,07/01/2021,06/30/2024
NC General Hospital #1,230586,NC,READM-30-PN-HRRP,399,1.0072,18.7205,18.5867,75,07/01/2021,06/30/2024
NC General Hospital #1,230586,NC,READM-30-COPD-HRRP,370,0.9694,17.1529,17.6943,63,07/01/2021,06/30/2024
NC General Hospital #1,230586,NC,READM-30-HIP-KNEE-HRRP,289,1.007,3.096,3.0745,9,07/01/2021,06/30/2024
NC General Hospital #2,230599,NC,READM-30-AMI-HRRP,362,1.085,14.6884,13.5377,53,07/01/2021,06/30/2024
NC General Hospital #2,230599,NC,READM-30-HF-HRRP,606,0.9721,17.5334,18.0366,106,07/01/2021,06/30/2024
NC General Hospital #2,230599,NC,READM-30-PN-HRRP,366,0.974,16.7224,17.1688,61,07/01/2021,06/30/2024
NC General Hospital #2,230599,NC,READM-30-COPD-HRRP,247,0.9418,17.9901,19.1018,44,07/01/2021,06/30/2024
NC General Hospital #2,230599,NC,READM-30-HIP-KNEE-HRRP,363,Not Available,Not Available,5.71,Not Available,07/01/2021,06/30/2024
NC General Hospital #3,230612,NC,READM-30-AMI-HRRP,317,0.9667,16.2561,16.8161,52,07/01/2021,06/30/2024
NC General Hospital #3,230612,NC,READM-30-HF-HRRP,469,0.9871,18.3309,18.5705,86,07/01/2021,06/30/2024
NC General Hospital #3,230612,NC,READM-30-PN-HRRP,512,1.0899,17.6568,16.2004,90,07/01/2021,06/30/2024
NC General Hospital #3,230612,NC,READM-30-COPD-HRRP,377,1.0094,21.0451,20.8491,79,07/01/2021,06/30/2024
NC General Hospital #3,230612,NC,READM-30-HIP-KNEE-HRRP,265,0.9089,3.5126,3.8647,9,07/01/2021,06/30/2024
NC General Hospital #4,230625,NC,READM-30-AMI-HRRP,437,0.997,12.1681,12.2047,53,07/01/2021,06/30/2024
NC General Hospital #4,230625,NC,READM-30-HF-HRRP,519,1.0131,20.7164,20.4485,108,07/01/2021,06/30/2024
NC General Hospital #4,230625,NC,READM-30-PN-HRRP,550,1.0197,19.2617,18.8896,106,07/01/2021,06/30/2024
NC General Hospital #4,230625,NC,READM-30-COPD-HRRP,494,1.0206,20.3797,19.9684,101,07/01/2021,06/30/2024
NC General Hospital #4,230625,NC,READM-30-HIP-KNEE-HRRP,294,0.9386,5.0743,5.4062,15,07/01/2021,06/30/2024
NC General Hospital #5,230638,NC,READM-30-AMI-HRRP,179,1.0847,17.4777,16.1129,31,07/01/2021,06/30/2024
NC General Hospital #5,230638,NC,READM-30-HF-HRRP,296,0.9626,17.5612,18.2435,52,07/01/2021,06/30/2024
NC General Hospital #5,230638,NC,READM-30-PN-HRRP,214,0.9686,16.8309,17.3765,36,07/01/2021,06/30/2024
NC General Hospital #5,230638,NC,READM-30-COPD-HRRP,416,1.0179,20.6912,20.3273,86,07/01/2021,06/30/2024
NC General Hospital #5,230638,NC,READM-30-HIP-KNEE-HRRP,313,0.9059,4.8942,5.4026,15,07/01/2021,06/30/2024
